Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments
,281b9cd8-3801-444a-99d3-e4f07253bd6f,283e6a81-0b87-4fcd-9cb4-99569a031ec7,browserify-optional,1.0.1,1.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,browserify-optional/1.0.1,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,28.08.17,0,,,,,,,
,b02b16f4-62b6-44f6-bc06-f217d4ebb6c9,db601824-10be-4cda-9c64-81f2098234b6,browserify-rsa,4.1.0,4.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,browserify-rsa/4.1.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12.11.20,0,,,,,,,
,2655f165-8301-4902-9dae-04f66969196d,3b5469ca-90a9-44b5-8384-37f00057acdd,browserify-sign,4.2.1,4.2.1,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,browserify-sign/4.2.1,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,04.08.20,0,INCREASING,6,2,,,,
,01a11fd4-5e27-4435-aa93-4fc5ec7f2ce6,380ed768-3e00-4217-a284-b70494348cf4,browserify-zlib,0.2.0,0.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,browserify-zlib/0.2.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,03.06.17,1,STABLE,0,0,,,,
,8602b937-e64a-4676-8c00-f66111ec2301,72d8aead-2684-4d7a-b10b-cbf618c4da7c,browserify/resolve,1.1.7,1.1.7,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,04.03.21,npmjs,resolve/1.1.7,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,24.01.16,42,,,,,,,
,8602b937-e64a-4676-8c00-f66111ec2301,91b0b0be-b8d1-447e-af4f-707cc01222a5,browserify/resolve,1.8.1,1.8.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,04.03.21,npmjs,resolve/1.8.1,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,17.06.18,29,,,,,,,
,8602b937-e64a-4676-8c00-f66111ec2301,9acfd19c-5053-41e4-8aad-327e8235ff95,browserify/resolve,v1.18.1,1.18.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,resolve/1.18.1,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,20.10.20,6,,,,,,,
,8602b937-e64a-4676-8c00-f66111ec2301,46520627-ac3a-41ea-96ff-2bb82e0bb8a9,browserify/resolve,v1.19.0,1.19.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,resolve/1.19.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11.11.20,4,,,,,,,
,9eea7663-0e97-49ac-be62-3611fae23cf2,0f64ed8e-e71f-4fad-8502-acbb30bd4da2,browserslist,4.14.5,4.14.5,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,browserslist/4.14.5,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,25.09.20,13,DECREASING,174,22,,,,
,9eea7663-0e97-49ac-be62-3611fae23cf2,21622862-c87a-4fd1-964c-035369083794,browserslist,4.16.0,4.16.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,browserslist/4.16.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10.12.20,6,DECREASING,174,22,,,,
